customer_id,count_x,gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,count_y,quarter,number_of_referrals,customer_enrollment_date,offer,phone_service,internet_service,internet_type,avg_monthly_gb_download,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,tenure_in_days
0265EDXBD,1,Male,76,No,Yes,Yes,No,0,1,Q3,2,2018-01-01,Offer C,Yes,Yes,Fiber Optic,10.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,974
2840XANRC,1,Male,77,No,Yes,Yes,No,0,1,Q3,1,2018-10-01,Offer C,Yes,Yes,Cable,12.0,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,93.15,2231.05,0.0,0,386.4,2617.45,701
5020ZSTTY,1,Female,70,No,Yes,No,No,0,1,Q3,0,2016-04-01,Offer B,Yes,Yes,DSL,5.0,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,5002.42,1614
5804LEPIM,1,Female,74,No,Yes,No,No,0,1,Q3,0,2020-07-01,Offer E,Yes,Yes,Fiber Optic,10.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,70.35,139.05,0.0,0,26.34,165.39,62
0623IIHUG,1,Female,77,No,Yes,No,No,0,1,Q3,0,2018-12-01,,No,Yes,Cable,8.0,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,41.9,840.1,0.0,0,0.0,840.1,640
9057MSWCO,1,Male,71,No,Yes,Yes,No,0,1,Q3,0,2018-07-01,,No,Yes,Cable,13.0,No,No,No,No,Month-to-Month,Credit Card,30.75,805.1,0.0,140,0.0,945.1,793
4895TMWIR,1,Male,79,No,Yes,Yes,No,0,1,Q3,1,2019-10-01,,Yes,No,,,No,No,No,No,Month-to-Month,Mailed Check,19.95,214.75,0.0,0,324.94,539.69,336
0533BNWKF,1,Female,66,No,Yes,Yes,No,0,1,Q3,2,2016-03-01,Offer B,Yes,Yes,Fiber Optic,27.0,No,No,No,No,Month-to-Month,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.8,1645
0334GDDSO,1,Male,77,No,Yes,No,No,0,1,Q3,0,2020-06-01,Offer E,Yes,Yes,Fiber Optic,14.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,81.35,233.7,0.0,0,27.66,261.36,92
5564NEMQO,1,Female,80,No,Yes,No,No,0,1,Q3,0,2020-08-01,Offer E,Yes,Yes,Fiber Optic,17.0,No,No,No,No,Month-to-Month,Bank Withdrawal,75.3,75.3,0.0,20,35.09,130.39,31
6235VDHOM,1,Female,77,No,Yes,No,No,0,1,Q3,0,2020-04-01,Offer E,No,Yes,DSL,26.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05,153
5609CEBID,1,Female,77,No,Yes,No,No,0,1,Q3,0,2019-01-01,,Yes,Yes,Fiber Optic,12.0,No,Yes,No,No,Month-to-Month,Bank Withdrawal,94.1,1782.4,0.0,80,974.6,2837.0,609
5956VKDTT,1,Female,72,No,Yes,Yes,No,0,1,Q3,4,2020-04-01,Offer E,Yes,Yes,Fiber Optic,22.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,74.35,334.8,0.0,0,228.8,563.6,153
0257ZESQC,1,Female,80,No,Yes,Yes,No,0,1,Q3,2,2018-07-01,,Yes,Yes,Cable,25.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,2118.89,793
2865TCHJW,1,Female,74,No,Yes,No,No,0,1,Q3,0,2020-05-01,,Yes,Yes,Cable,24.0,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,89.2,346.2,0.0,0,193.4,539.6,123
5192EBGOV,1,Female,68,No,Yes,No,No,0,1,Q3,0,2020-08-01,,Yes,Yes,Fiber Optic,21.0,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,85.7,85.7,0.0,0,45.81,131.51,31
3419SNJJD,1,Female,78,No,Yes,Yes,No,0,1,Q3,3,2015-05-01,Offer B,Yes,Yes,Fiber Optic,28.0,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,105.25,6786.4,0.0,0,1195.35,7981.75,1950
4554YGZIH,1,Male,75,No,Yes,Yes,No,0,1,Q3,3,2016-08-01,Offer B,Yes,Yes,Fiber Optic,14.0,No,Yes,No,Yes,Month-to-Month,Credit Card,90.05,4547.25,0.0,0,1123.08,5670.33,1492
5099BAILX,1,Male,77,No,Yes,Yes,No,0,1,Q3,1,2017-03-01,Offer B,Yes,Yes,Fiber Optic,5.0,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.26,1280
4913EHYUI,1,Male,80,No,Yes,Yes,No,0,1,Q3,0,2016-01-01,Offer B,Yes,Yes,Fiber Optic,12.0,Yes,Yes,No,Yes,One Year,Bank Withdrawal,104.55,5794.65,0.0,0,2732.8,8527.45,1705
1626ERCMM,1,Male,75,No,Yes,Yes,No,0,1,Q3,7,2019-01-01,,Yes,Yes,Fiber Optic,10.0,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,94.55,1899.65,0.0,0,106.2,2005.85,609
5644PDMZC,1,Female,69,No,Yes,No,No,0,1,Q3,0,2020-07-01,,Yes,Yes,Fiber Optic,19.0,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,89.5,161.5,0.0,0,94.94,256.44,62
4160AMJTL,1,Female,74,No,Yes,No,No,0,1,Q3,0,2020-01-01,,Yes,No,,,No,No,No,No,Month-to-Month,Bank Withdrawal,19.65,164.3,0.0,0,223.6,387.9,244
0823HSCDJ,1,Male,76,No,Yes,No,No,0,1,Q3,0,2016-06-01,,No,Yes,DSL,18.0,Yes,Yes,Yes,No,Month-to-Month,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,2580.9,1553
0067DKWBL,1,Male,69,No,Yes,No,No,0,1,Q3,0,2020-07-01,,Yes,Yes,DSL,27.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.08,62
5244IRFIH,1,Male,72,No,Yes,Yes,No,0,1,Q3,1,2017-12-01,,Yes,Yes,Fiber Optic,8.0,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,4022.29,1005
2684EIWEO,1,Female,69,No,Yes,No,No,0,1,Q3,0,2018-04-01,,Yes,Yes,Fiber Optic,19.0,No,No,No,Yes,Month-to-Month,Credit Card,91.7,2758.15,0.0,0,1376.4,4134.55,884
6683VLCTZ,1,Male,73,No,Yes,No,No,0,1,Q3,0,2019-01-01,,Yes,Yes,Fiber Optic,13.0,Yes,Yes,No,No,Month-to-Month,Bank Withdrawal,98.55,1842.8,0.0,120,888.8,2851.6,609
0691IFBQW,1,Female,65,No,Yes,No,No,0,1,Q3,0,2016-11-01,,Yes,Yes,Fiber Optic,20.0,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,110.0,4874.8,0.0,0,109.02,4983.82,1400
3643AHCFP,1,Male,74,No,Yes,Yes,No,0,1,Q3,1,2020-03-01,,Yes,Yes,Cable,11.0,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,95.6,644.35,0.0,0,153.37,797.72,184
9231ZJYAM,1,Female,65,No,Yes,No,No,0,1,Q3,0,2020-05-01,,Yes,Yes,Fiber Optic,18.0,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,78.85,292.8,0.0,0,147.72,440.52,123
0727BMPLR,1,Female,66,No,Yes,No,No,0,1,Q3,0,2016-03-01,,Yes,Yes,Fiber Optic,7.0,Yes,Yes,Yes,No,One Year,Bank Withdrawal,100.0,5509.3,0.0,100,2055.9,7665.2,1645
0947MUGVO,1,Male,71,No,Yes,Yes,No,0,1,Q3,1,2019-01-01,,Yes,Yes,Fiber Optic,24.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,73.65,1463.5,0.0,0,107.4,1570.9,609
0781LKXBR,1,Male,65,No,Yes,No,No,0,1,Q3,0,2019-12-01,,Yes,Yes,Fiber Optic,15.0,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,100.5,918.6,0.0,0,438.39,1356.99,275
1907UBQFC,1,Male,69,No,Yes,No,No,0,1,Q3,0,2019-11-01,,Yes,Yes,Fiber Optic,24.0,No,No,No,No,Month-to-Month,Bank Withdrawal,72.85,688.65,0.0,30,54.6,773.25,305
6513EECDB,1,Male,75,No,Yes,Yes,No,0,1,Q3,0,2020-08-01,,Yes,Yes,Fiber Optic,6.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,73.55,73.55,0.0,0,36.92,110.47,31
7074IEVOJ,1,Female,75,No,Yes,No,No,0,1,Q3,0,2020-06-01,,Yes,Yes,Fiber Optic,11.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,79.4,205.05,0.0,0,125.7,330.75,92
4750ZRXIU,1,Female,68,No,Yes,No,No,0,1,Q3,0,2020-05-01,,Yes,Yes,Cable,17.0,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,84.6,360.1,0.0,0,26.72,386.82,123
7028DVOIQ,1,Male,71,No,Yes,No,No,0,1,Q3,0,2017-10-01,,Yes,Yes,Fiber Optic,19.0,Yes,Yes,No,No,Month-to-Month,Bank Withdrawal,99.05,3395.8,0.0,120,729.05,4244.85,1066
4208UFFGW,1,Male,80,No,Yes,No,No,0,1,Q3,0,2020-07-01,Offer E,Yes,Yes,DSL,11.0,No,No,No,Yes,Month-to-Month,Credit Card,44.95,85.15,0.0,0,53.24,138.39,62
9889TMAHG,1,Male,66,No,Yes,No,No,0,1,Q3,0,2020-01-01,,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Month-to-Month,Credit Card,100.3,832.35,0.0,0,92.56,924.91,244
8919FYFQZ,1,Male,73,No,Yes,Yes,No,0,1,Q3,2,2017-01-01,,No,Yes,Cable,28.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,30.35,1359.7,0.0,0,0.0,1359.7,1339
6646QVXLR,1,Male,77,No,Yes,Yes,No,0,1,Q3,1,2015-08-01,,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,103.75,6383.35,0.0,0,440.82,6824.17,1858
9369XFEHK,1,Female,76,No,Yes,Yes,No,0,1,Q3,1,2017-12-01,,Yes,Yes,Cable,15.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,80.6,2656.5,0.0,0,1095.27,3751.77,1005
1374DMZUI,1,Female,65,No,Yes,No,No,0,1,Q3,0,2020-05-01,Offer E,Yes,Yes,Fiber Optic,23.0,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,94.3,424.45,0.0,0,198.0,622.45,123
1989PRJHP,1,Male,75,No,Yes,Yes,No,0,1,Q3,1,2018-07-01,,Yes,Yes,Fiber Optic,23.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,75.5,1893.95,0.0,0,286.2,2180.15,793
4822RVYBB,1,Male,75,No,Yes,No,No,0,1,Q3,0,2020-01-01,Offer E,Yes,Yes,Fiber Optic,29.0,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,100.6,819.4,0.0,0,323.6,1143.0,244
4184TJFAN,1,Female,68,No,Yes,Yes,No,0,1,Q3,1,2020-06-01,Offer E,Yes,Yes,Fiber Optic,2.0,Yes,No,No,Yes,Month-to-Month,Mailed Check,88.3,273.75,0.0,0,77.31,351.06,92
4145UQXUQ,1,Female,71,No,Yes,No,No,0,1,Q3,0,2020-01-01,Offer E,Yes,Yes,Fiber Optic,9.0,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,92.1,729.95,0.0,0,343.44,1073.39,244
1236WFCDV,1,Male,74,No,Yes,No,No,0,1,Q3,0,2019-08-01,,Yes,Yes,Fiber Optic,24.0,Yes,Yes,No,Yes,Month-to-Month,Credit Card,90.45,1266.1,0.0,0,158.34,1424.44,397
1271SJBGZ,1,Male,77,No,Yes,No,No,0,1,Q3,0,2019-10-01,,No,Yes,DSL,10.0,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,43.65,526.95,0.0,0,0.0,526.95,336
4441NIHPT,1,Female,73,No,Yes,No,No,0,1,Q3,0,2019-08-01,,Yes,Yes,Fiber Optic,21.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,74.3,940.35,0.0,0,524.81,1465.16,397
8999BOHSE,1,Female,68,No,Yes,No,No,0,1,Q3,0,2019-10-01,,Yes,Yes,Fiber Optic,27.0,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,89.7,1047.7,0.0,0,43.56,1091.26,336
7029RPUAV,1,Male,74,No,Yes,Yes,No,0,1,Q3,1,2019-05-01,,Yes,Yes,Cable,16.0,Yes,Yes,No,Yes,Month-to-Month,Credit Card,100.45,1622.45,0.0,0,479.06,2101.51,489
8111SLLHI,1,Male,65,No,Yes,Yes,No,0,1,Q3,1,2017-07-01,,Yes,Yes,Fiber Optic,26.0,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,105.65,4284.8,0.0,0,1296.75,5581.55,1158
5293WXJAK,1,Female,73,No,Yes,Yes,No,0,1,Q3,5,2019-10-01,,Yes,Yes,Fiber Optic,27.0,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,104.05,1133.65,0.0,0,189.75,1323.4,336
4086YQSNZ,1,Female,74,No,Yes,Yes,No,0,1,Q3,1,2020-06-01,Offer E,Yes,Yes,Fiber Optic,9.0,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,80.4,224.05,0.0,0,9.87,233.92,92
8399YNDCH,1,Male,80,No,Yes,No,No,0,1,Q3,0,2018-12-01,,Yes,Yes,DSL,14.0,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,60.05,1236.15,0.0,0,727.02,1963.17,640
5565FILXA,1,Female,76,No,Yes,No,No,0,1,Q3,0,2019-06-01,,Yes,Yes,Fiber Optic,16.0,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,96.15,1529.2,0.0,0,620.0,2149.2,458
4187CINZD,1,Female,73,No,Yes,No,No,0,1,Q3,0,2016-11-01,,Yes,Yes,Fiber Optic,30.0,Yes,Yes,No,Yes,One Year,Credit Card,95.25,4424.2,0.0,0,281.98,4706.18,1400
6818WOBHJ,1,Female,70,No,Yes,Yes,No,0,1,Q3,1,2015-01-01,Offer A,Yes,Yes,Fiber Optic,24.0,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,89.6,6127.6,0.0,0,1640.84,7768.44,2070
9134CEQMF,1,Male,75,No,Yes,Yes,No,0,1,Q3,1,2020-03-01,Offer E,Yes,Yes,Fiber Optic,27.0,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,89.5,676.7,0.0,0,95.41,772.11,184
8519IMDHU,1,Male,74,No,Yes,Yes,No,0,1,Q3,1,2019-07-01,,Yes,Yes,Cable,22.0,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,85.6,1345.55,0.0,0,678.75,2024.3,428
3372KWFBM,1,Male,76,No,Yes,No,No,0,1,Q3,0,2019-06-01,,Yes,Yes,Fiber Optic,22.0,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,86.6,1281.0,0.0,0,306.88,1587.88,458
7206GZCDC,1,Female,75,No,Yes,No,No,0,1,Q3,0,2020-08-01,Offer E,Yes,Yes,Cable,18.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,69.25,69.25,0.0,0,29.68,98.93,31
1768ZAIFU,1,Female,74,No,Yes,No,No,0,1,Q3,0,2020-08-01,,No,Yes,Cable,5.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,25.2,25.2,0.0,0,0.0,25.2,31
3793MMFUH,1,Female,73,No,Yes,No,No,0,1,Q3,0,2019-08-01,,Yes,Yes,Fiber Optic,24.0,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,95.05,1290.0,0.0,0,247.39,1537.39,397
6567HOOPW,1,Female,69,No,Yes,No,No,0,1,Q3,0,2020-08-01,,Yes,Yes,Fiber Optic,24.0,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,79.2,79.2,0.0,0,20.06,99.26,31
8621MNIHH,1,Female,75,No,Yes,Yes,No,0,1,Q3,1,2017-11-01,,Yes,Yes,Fiber Optic,4.0,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,94.25,3217.55,0.0,0,97.92,3315.47,1035
5419CONWX,1,Female,65,No,Yes,No,No,0,1,Q3,0,2020-05-01,,Yes,Yes,Fiber Optic,10.0,Yes,Yes,Yes,Yes,Month-to-Month,Credit Card,99.8,442.85,0.0,0,50.72,493.57,123
7024OHCCK,1,Female,77,No,Yes,No,No,0,1,Q3,0,2020-07-01,,Yes,Yes,Fiber Optic,18.0,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,93.85,170.85,0.0,0,38.54,209.39,62
5357TZHPP,1,Male,67,No,Yes,No,No,0,1,Q3,0,2019-12-01,,Yes,Yes,Fiber Optic,18.0,No,Yes,No,Yes,Month-to-Month,Credit Card,84.4,732.5,0.0,0,277.2,1009.7,275
0506LVNGN,1,Female,78,No,Yes,No,No,0,1,Q3,0,2020-04-01,,Yes,Yes,Fiber Optic,9.0,No,No,No,Yes,Month-to-Month,Credit Card,75.55,349.65,0.0,0,211.65,561.3,153
9809IMGCQ,1,Male,65,No,Yes,No,No,0,1,Q3,0,2018-11-01,Offer D,Yes,Yes,Fiber Optic,8.0,Yes,Yes,Yes,No,Month-to-Month,Bank Withdrawal,96.7,2082.95,0.0,100,883.96,3066.91,670
3254YRILK,1,Male,74,No,Yes,No,No,0,1,Q3,0,2019-03-01,Offer D,Yes,Yes,Fiber Optic,9.0,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,88.2,1775.8,0.0,0,759.43,2535.23,550
0529ONKER,1,Male,70,No,Yes,No,No,0,1,Q3,0,2019-07-01,Offer D,Yes,Yes,Fiber Optic,19.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,75.65,1146.65,0.0,0,695.7,1842.35,428
5240IJOQT,1,Male,69,No,Yes,No,No,0,1,Q3,0,2020-08-01,,Yes,Yes,Fiber Optic,20.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,74.7,74.7,0.0,0,11.34,86.04,31
0661XEYAN,1,Female,76,No,Yes,No,No,0,1,Q3,0,2020-08-01,,No,Yes,DSL,26.0,No,No,No,No,Month-to-Month,Mailed Check,25.8,25.8,0.0,20,0.0,45.8,31
2660EMUBI,1,Male,71,No,Yes,No,No,0,1,Q3,0,2019-11-01,Offer D,Yes,Yes,Fiber Optic,14.0,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,95.35,898.35,0.0,0,413.7,1312.05,305
7675OZCZG,1,Female,76,No,Yes,No,No,0,1,Q3,0,2020-06-01,,Yes,Yes,DSL,6.0,No,No,No,No,Month-to-Month,Bank Withdrawal,45.0,127.1,0.0,10,90.42,227.52,92
9391EOYLI,1,Male,77,No,Yes,Yes,No,0,1,Q3,1,2019-10-01,Offer D,Yes,Yes,Fiber Optic,19.0,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,80.45,950.2,0.0,0,83.64,1033.84,336
2761OCIAX,1,Male,74,No,Yes,No,No,0,1,Q3,0,2020-07-01,,Yes,Yes,Fiber Optic,11.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,74.7,165.4,0.0,0,13.02,178.42,62
3068OMWZA,1,Male,77,No,Yes,No,No,0,1,Q3,0,2020-08-01,,Yes,Yes,Fiber Optic,20.0,Yes,No,No,No,Month-to-Month,Bank Withdrawal,88.8,88.8,0.0,10,49.6,148.4,31
4154AQUGT,1,Male,76,No,Yes,Yes,No,0,1,Q3,1,2019-08-01,Offer D,Yes,Yes,Fiber Optic,5.0,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,89.05,1169.35,0.0,0,19.11,1188.46,397
8017LXHFA,1,Female,77,No,Yes,No,No,0,1,Q3,0,2018-10-01,Offer D,Yes,Yes,Fiber Optic,23.0,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,94.75,2293.6,0.0,0,716.91,3010.51,701
4248QPAVC,1,Female,80,No,Yes,Yes,No,0,1,Q3,1,2019-05-01,Offer D,Yes,Yes,Fiber Optic,6.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,85.35,1463.45,0.0,0,625.94,2089.39,489
4690LLKUA,1,Male,68,No,Yes,No,No,0,1,Q3,0,2019-05-01,,Yes,Yes,DSL,2.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,45.05,770.6,0.0,0,695.81,1466.41,489
9490DFPMD,1,Female,79,No,Yes,No,No,0,1,Q3,0,2017-04-01,,Yes,Yes,Fiber Optic,17.0,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,84.65,3541.35,0.0,0,400.26,3941.61,1249
8580AECUZ,1,Male,65,No,Yes,No,No,0,1,Q3,0,2020-08-01,,Yes,Yes,Fiber Optic,16.0,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,79.1,79.1,0.0,0,42.3,121.4,31
5047LHVLY,1,Male,68,No,Yes,No,No,0,1,Q3,0,2020-08-01,Offer E,Yes,Yes,Cable,12.0,No,No,No,Yes,Month-to-Month,Mailed Check,50.15,50.15,0.0,0,39.78,89.93,31
8375DKEBR,1,Female,72,No,Yes,No,No,0,1,Q3,0,2020-08-01,Offer E,Yes,Yes,Fiber Optic,15.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,69.6,69.6,0.0,0,34.51,104.11,31
7279BUYWN,1,Female,66,No,Yes,No,No,0,1,Q3,0,2017-05-01,,Yes,Yes,Fiber Optic,23.0,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,113.2,4689.5,0.0,0,1145.95,5835.45,1219
7156MHUGY,1,Male,68,No,Yes,No,No,0,1,Q3,0,2019-08-01,,Yes,Yes,Fiber Optic,4.0,Yes,Yes,Yes,No,Month-to-Month,Bank Withdrawal,90.5,1201.15,29.84,140,339.43,1650.74,397
9606PBKBQ,1,Male,69,No,Yes,Yes,No,0,1,Q3,1,2018-01-01,,Yes,Yes,Fiber Optic,23.0,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,85.0,2642.05,49.57,0,191.68,2784.16,974
3536IQCTX,1,Male,76,No,Yes,Yes,No,0,1,Q3,1,2018-01-01,,Yes,Yes,Fiber Optic,10.0,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,85.3,2661.1,0.0,0,1587.2,4248.3,974
